country_code,h3,institution_count
AU,6,44
US,5,734
CA,4,72
CN,4,125
FI,4,14
GB,4,113
IE,4,10
IR,4,60
IT,4,37
SA,4,33
ZA,4,21
EG,3,20
ES,3,39
ET,3,19
IL,3,13
JO,3,15
NO,3,19
SE,3,24
TR,3,61
TW,3,37
AE,2,11
BE,2,10
CH,2,11
DK,2,7
GH,2,15
GR,2,10
HK,2,6
HR,2,11
IN,2,53
JP,2,57
KR,2,34
KW,2,3
KZ,2,4
MY,2,18
NG,2,23
NL,2,22
NZ,2,13
PH,2,25
PK,2,20
PL,2,12
PS,2,7
PT,2,10
SG,2,7
SI,2,5
TH,2,17
AD,1,1
AG,1,1
AL,1,4
AR,1,4
AT,1,7
AZ,1,1
BB,1,1
BD,1,8
BF,1,1
BH,1,2
BN,1,1
BR,1,23
BW,1,1
CL,1,8
CM,1,3
CO,1,9
CY,1,9
CZ,1,4
DE,1,24
EC,1,3
EE,1,3
ER,1,1
FJ,1,1
FO,1,1
FR,1,12
GU,1,1
HN,1,1
HU,1,3
ID,1,16
IQ,1,6
IS,1,3
JM,1,2
KE,1,10
KG,1,1
KH,1,2
LB,1,5
LK,1,3
LT,1,4
LV,1,1
MA,1,4
ME,1,1
MK,1,1
MM,1,1
MO,1,1
MT,1,2
MW,1,3
MX,1,9
,1,1
NP,1,3
OM,1,4
PE,1,2
PR,1,1
QA,1,2
RO,1,4
RU,1,6
RW,1,2
