country_code,h3,institution_count
US,20,1302
CN,16,654
GB,16,202
IT,15,90
JP,14,404
DE,13,181
FR,13,140
CA,12,107
AU,11,57
ES,11,95
BR,10,321
KR,10,150
NL,10,47
TR,10,164
TW,10,92
EG,8,50
IN,8,683
PL,8,106
SE,8,30
AT,7,38
BE,7,27
CH,7,35
IR,7,162
MX,7,142
AR,6,60
CO,6,91
FI,6,27
GR,6,30
IE,6,15
IL,6,22
RO,6,40
TN,6,18
CL,5,38
DK,5,17
HK,5,7
ID,5,142
MA,5,30
NO,5,22
PT,5,63
RU,5,187
SA,5,40
TH,5,50
ZA,5,22
AE,4,20
BG,4,14
CZ,4,21
ET,4,30
HR,4,15
HU,4,23
LB,4,10
MY,4,49
NZ,4,16
PE,4,42
PK,4,119
RS,4,16
SG,4,15
UA,4,54
BA,3,8
BD,3,58
CR,3,19
CY,3,13
DZ,3,33
EC,3,40
GT,3,5
IQ,3,49
JO,3,15
KZ,3,19
LK,3,11
NG,3,72
NP,3,17
PH,3,43
PS,3,8
SI,3,13
SK,3,15
SY,3,10
VE,3,19
AF,2,3
AL,2,7
AZ,2,6
BF,2,4
BH,2,4
BO,2,15
BY,2,13
CD,2,8
CI,2,5
CM,2,8
CU,2,19
EE,2,7
GH,2,11
IS,2,4
KE,2,15
KW,2,5
LT,2,12
LV,2,10
LY,2,7
MK,2,7
ML,2,3
MO,2,3
MT,2,2
NE,2,3
OM,2,7
