country_code,h3,institution_count
US,13,1670
GB,9,200
AU,8,49
CA,8,122
ES,7,97
NL,7,39
ZA,7,32
DE,6,165
PL,6,155
CH,5,39
IT,5,92
SE,5,30
AT,4,32
BE,4,20
BR,4,229
CL,4,47
CN,4,494
CO,4,98
DK,4,15
FI,4,22
FR,4,120
GH,4,34
HK,4,11
IE,4,15
IL,4,32
IN,4,528
JP,4,235
KE,4,49
KR,4,169
NG,4,108
NO,4,22
AE,3,25
AR,3,54
BD,3,58
CZ,3,21
ET,3,32
HU,3,21
MX,3,104
MY,3,55
NZ,3,17
PK,3,97
PT,3,42
RU,3,191
SA,3,36
SG,3,11
TR,3,137
TW,3,71
TZ,3,28
UG,3,25
ZW,3,12
BA,2,6
BI,2,4
BO,2,14
BW,2,3
CD,2,12
CM,2,12
CR,2,17
CU,2,21
CY,2,16
EC,2,50
EE,2,5
EG,2,30
GR,2,30
HR,2,13
ID,2,169
IR,2,100
JM,2,6
JO,2,19
KZ,2,30
LB,2,10
LK,2,13
LT,2,11
LV,2,14
MA,2,21
MT,2,3
MW,2,6
NP,2,14
PE,2,61
PH,2,111
PR,2,12
QA,2,10
RO,2,37
RS,2,9
RW,2,7
SD,2,12
SI,2,8
SK,2,14
TH,2,40
TN,2,13
UA,2,83
UY,2,5
VE,2,17
VN,2,46
ZM,2,10
AD,1,1
AF,1,9
AL,1,11
AM,1,5
AO,1,4
AS,1,1
AX,1,1
