country_code,h3,institution_count
CN,10,816
US,10,1086
AU,7,48
CA,7,77
GB,7,148
SE,7,27
FR,6,125
IT,6,62
DE,5,153
ES,5,72
IN,5,555
IR,5,166
JP,5,226
KR,5,148
AT,4,27
BE,4,19
BR,4,148
CZ,4,20
FI,4,19
HK,4,8
IL,4,15
MY,4,52
NL,4,29
NZ,4,10
PL,4,80
TW,4,103
BD,3,60
CH,3,21
CL,3,24
DK,3,11
DZ,3,42
EG,3,47
ET,3,29
GR,3,24
HR,3,12
IE,3,16
IQ,3,32
LT,3,9
MA,3,23
NG,3,94
NO,3,19
PT,3,30
RO,3,36
RS,3,12
RU,3,195
SA,3,37
SK,3,15
TH,3,56
TR,3,119
UA,3,68
ZA,3,27
AE,2,27
AL,2,7
AR,2,22
BA,2,7
BG,2,16
BY,2,9
CM,2,7
CO,2,46
CY,2,9
EC,2,27
EE,2,5
GH,2,18
HU,2,21
ID,2,160
JO,2,15
KE,2,17
KW,2,5
KZ,2,25
LB,2,10
LK,2,13
LV,2,9
ME,2,2
MK,2,4
MN,2,5
MO,2,3
MX,2,48
NP,2,10
OM,2,14
PE,2,26
PH,2,44
PK,2,77
PR,2,8
SG,2,15
SI,2,13
TN,2,15
UG,2,10
UY,2,3
UZ,2,13
VN,2,52
AF,1,3
AM,1,1
AO,1,1
AZ,1,3
BF,1,1
BH,1,3
BI,1,2
BJ,1,4
BN,1,2
BO,1,4
BS,1,1
