country_code,h3,institution_count
US,14,740
DE,9,115
JP,9,279
CN,8,418
FR,8,92
GB,8,118
IT,8,67
ES,7,59
KR,7,101
AT,6,21
AU,6,41
BR,6,175
CA,6,52
NL,6,24
SE,6,17
BE,5,18
CH,5,19
IR,5,103
CL,4,28
EG,4,29
FI,4,10
GR,4,17
IL,4,17
IN,4,295
PL,4,41
RU,4,67
TR,4,100
TW,4,53
CO,3,31
DK,3,9
HK,3,7
HU,3,12
IE,3,10
MX,3,55
NG,3,38
NO,3,9
PT,3,21
SA,3,31
ZA,3,12
AR,2,21
CZ,2,16
DZ,2,8
ET,2,7
HR,2,6
ID,2,47
JO,2,9
LB,2,5
LK,2,5
LT,2,3
MA,2,12
MO,2,2
MR,2,2
MY,2,26
NZ,2,8
PK,2,47
QA,2,5
RO,2,16
RS,2,3
SG,2,9
SN,2,4
TH,2,24
TN,2,7
UA,2,17
VN,2,15
AD,1,1
AE,1,13
AF,1,1
AL,1,3
AM,1,5
AW,1,1
BA,1,6
BB,1,1
BD,1,12
BF,1,1
BG,1,9
BH,1,3
BJ,1,1
BO,1,3
BT,1,1
BY,1,4
CD,1,3
CG,1,1
CI,1,1
CM,1,4
CR,1,5
CU,1,5
CY,1,6
DO,1,1
EC,1,10
EE,1,1
FO,1,1
GE,1,4
GH,1,6
GT,1,1
GY,1,1
HN,1,1
HT,1,1
IQ,1,14
IS,1,2
JM,1,2
KH,1,2
