country_code,h3,institution_count
US,22,2466
GB,15,289
CA,14,175
AU,12,70
DE,11,326
ES,11,110
NL,11,61
IT,10,116
CN,9,869
FR,9,204
JP,9,580
BR,8,366
NO,8,41
SE,8,42
ZA,8,38
AT,7,55
CH,7,59
HK,7,12
IL,7,44
KR,7,221
NZ,7,24
PL,7,151
PT,7,80
TR,7,196
TW,7,133
BE,6,39
CL,6,63
DK,6,37
FI,6,36
GR,6,43
HU,6,38
IE,6,21
IN,6,852
MX,6,199
MY,6,71
AR,5,80
CO,5,150
ET,5,34
ID,5,332
IR,5,245
NG,5,124
PE,5,84
RO,5,70
TH,5,93
AE,4,34
CY,4,25
CZ,4,34
EC,4,57
LT,4,25
PH,4,160
PK,4,156
RS,4,18
RU,4,287
SA,4,45
SG,4,29
SK,4,26
BD,3,84
BG,3,28
CR,3,23
EE,3,15
EG,3,48
GH,3,39
HR,3,25
JO,3,24
KE,3,40
KZ,3,40
LB,3,18
LK,3,19
LV,3,24
MA,3,26
MO,3,5
NP,3,18
PR,3,27
SI,3,23
TN,3,20
TZ,3,25
VE,3,34
VN,3,72
AF,2,14
AL,2,15
AM,2,8
AZ,2,19
BA,2,12
BH,2,7
BJ,2,5
BO,2,19
BT,2,3
BY,2,10
CD,2,16
CI,2,6
CM,2,13
CU,2,23
DO,2,17
DZ,2,39
FJ,2,3
GA,2,4
GE,2,16
GT,2,7
IQ,2,50
IS,2,5
JM,2,5
