country_code,h3,institution_count
US,26,3185
GB,21,391
CA,17,264
AU,16,97
DE,16,423
FR,14,338
CN,13,1031
NL,13,75
ES,12,129
IT,12,158
CH,11,95
JP,11,856
KR,11,312
ZA,11,48
AT,10,80
BR,10,433
NO,10,49
SE,10,46
BE,9,71
FI,9,40
ID,9,514
IL,9,55
MY,9,85
PT,9,111
TW,9,143
DK,8,42
GR,8,55
HK,8,13
IE,8,34
IN,8,1011
NZ,8,30
AE,7,51
MX,7,285
PL,7,191
RO,7,80
RU,7,670
TR,7,200
AR,6,93
BD,6,103
CL,6,69
CO,6,181
CZ,6,56
GH,6,55
HU,6,50
NG,6,143
PH,6,204
PK,6,171
RS,6,22
SG,6,32
TH,6,123
VN,6,122
ZW,6,18
CY,5,29
EG,5,79
HR,5,36
IR,5,258
JO,5,27
KE,5,56
KZ,5,68
LB,5,29
LK,5,20
LT,5,35
MA,5,63
MO,5,5
PE,5,88
PS,5,19
QA,5,20
SA,5,50
SK,5,33
UA,5,223
BG,4,46
CR,4,40
DZ,4,69
EC,4,59
ET,4,38
IQ,4,64
KH,4,30
LV,4,33
MK,4,13
MN,4,12
OM,4,21
PR,4,31
SI,4,46
TN,4,34
TZ,4,35
UY,4,9
UZ,4,52
AL,3,27
AZ,3,29
BA,3,17
BF,3,7
BH,3,11
BI,3,6
BJ,3,13
BO,3,37
BY,3,44
CD,3,38
CI,3,11
CM,3,26
CU,3,26
DO,3,23
