country_code,h3,institution_count
US,8,602
CN,7,433
DE,7,138
ES,6,63
FR,6,105
GB,6,112
BR,5,114
CA,5,58
CH,5,22
IN,5,374
IT,5,43
AR,4,37
AT,4,21
AU,4,40
BE,4,12
DK,4,7
IL,4,15
JP,4,106
KR,4,81
NL,4,19
NO,4,14
PT,4,23
SE,4,23
SG,4,8
CZ,3,10
EG,3,27
FI,3,13
HK,3,6
HU,3,13
IE,3,12
IR,3,78
LB,3,8
MA,3,17
MY,3,32
NZ,3,11
PK,3,65
PL,3,23
RU,3,77
SA,3,26
TR,3,60
TW,3,46
VN,3,31
AE,2,13
AM,2,4
BD,2,24
CL,2,22
CO,2,69
CU,2,10
CY,2,5
DZ,2,25
EC,2,28
EE,2,2
GR,2,22
ID,2,66
IQ,2,23
JO,2,15
KW,2,3
LV,2,4
MO,2,3
MX,2,58
OM,2,6
PE,2,31
PS,2,3
RO,2,20
RS,2,5
SK,2,6
TH,2,23
TN,2,12
UA,2,27
ZA,2,10
AO,1,1
AZ,1,2
BA,1,5
BB,1,1
BF,1,1
BG,1,6
BH,1,1
BI,1,1
BJ,1,1
BN,1,1
BO,1,5
BW,1,1
BY,1,1
CD,1,1
CM,1,3
CR,1,7
DO,1,1
ET,1,7
FJ,1,1
GD,1,1
GE,1,1
GH,1,8
GT,1,2
HN,1,2
HR,1,7
IS,1,2
JM,1,1
KE,1,4
KH,1,2
KP,1,1
KY,1,1
