country_code,h3,institution_count
CN,13,805
US,13,1102
GB,11,160
IT,10,93
DE,9,165
ES,9,80
CA,8,89
FR,8,147
RU,8,286
AU,7,37
BR,7,182
IN,7,531
JP,7,296
NL,7,26
PL,7,72
CH,6,30
CM,6,9
IL,6,25
MX,6,85
SA,6,33
SE,6,27
TR,6,146
AR,5,37
AT,5,24
BE,5,16
EG,5,45
GR,5,33
HK,5,10
IR,5,164
KR,5,109
PK,5,93
RO,5,34
TW,5,87
ZA,5,24
BD,4,59
CL,4,32
CZ,4,19
DK,4,10
DZ,4,49
IE,4,12
JO,4,19
MA,4,26
MY,4,38
PT,4,35
SG,4,16
UA,4,97
AE,3,22
AZ,3,14
BG,3,18
CO,3,51
CY,3,11
EE,3,3
ET,3,20
FI,3,13
HR,3,10
HU,3,20
ID,3,95
IQ,3,42
MK,3,6
MO,3,4
NG,3,74
NO,3,16
NZ,3,11
RS,3,10
SI,3,9
SK,3,15
TH,3,54
TN,3,16
UZ,3,24
AL,2,6
BH,2,4
BI,2,2
BJ,2,3
BW,2,2
BY,2,14
EC,2,22
GE,2,8
GH,2,12
KW,2,4
KZ,2,20
LB,2,9
LK,2,9
LT,2,9
LV,2,9
LY,2,11
MM,2,5
NP,2,4
OM,2,9
PE,2,21
PH,2,30
PR,2,6
PS,2,10
QA,2,4
SD,2,8
SN,2,3
TJ,2,2
VE,2,17
VN,2,52
YE,2,8
AF,1,7
AM,1,6
