country_code,h3,institution_count
US,10,1041
CN,9,570
GB,9,173
CA,8,70
DE,7,150
NL,7,31
AU,6,47
ES,6,79
FR,6,128
IT,6,73
BR,5,176
CH,5,25
DK,5,12
GR,5,28
IR,5,147
KR,5,131
MY,5,48
SE,5,26
TW,5,104
AT,4,24
CZ,4,21
FI,4,22
HK,4,8
IN,4,434
JP,4,167
NO,4,19
PL,4,66
SA,4,35
ZA,4,21
AR,3,32
BE,3,19
CL,3,32
CO,3,63
DZ,3,25
EG,3,39
HR,3,14
HU,3,20
ID,3,138
IE,3,12
IL,3,17
MX,3,79
NZ,3,11
PK,3,82
PT,3,35
RO,3,30
RU,3,155
SG,3,8
TH,3,46
TN,3,14
TR,3,119
AE,2,19
BA,2,9
BD,2,20
BG,2,14
BW,2,2
CU,2,13
CY,2,7
EC,2,23
EE,2,5
ET,2,13
GH,2,14
IQ,2,30
JO,2,12
KZ,2,19
LB,2,9
LK,2,11
LT,2,10
LV,2,8
MA,2,19
MK,2,5
NG,2,60
OM,2,7
PE,2,29
PH,2,26
PR,2,8
QA,2,5
RS,2,10
SI,2,11
SK,2,13
SY,2,5
UA,2,51
UY,2,4
VE,2,7
VN,2,37
AF,1,4
AL,1,3
AM,1,4
AO,1,1
AZ,1,9
BH,1,4
BI,1,1
BJ,1,2
BN,1,3
BO,1,8
BY,1,5
CD,1,3
CI,1,2
CM,1,3
CR,1,5
DJ,1,1
DO,1,1
