country_code,h3,institution_count
US,13,1518
GB,12,227
AU,11,59
DE,11,332
ES,11,100
NL,11,55
CA,10,131
SE,10,36
CN,9,840
FI,9,37
FR,9,229
ID,9,497
IT,9,108
PL,9,215
CH,8,57
AT,7,62
BR,7,307
DK,7,21
IN,7,706
MY,7,80
PT,7,74
ZA,7,37
BE,6,24
CZ,6,39
GR,6,42
HK,6,12
IE,6,26
IR,6,234
KR,6,151
NO,6,30
NZ,6,19
RO,6,72
RU,6,514
SK,6,29
TR,6,193
TW,6,132
AE,5,40
BD,5,85
GH,5,44
IL,5,31
JP,5,270
MA,5,49
NG,5,130
PK,5,144
SA,5,47
TH,5,105
VN,5,104
AR,4,52
CL,4,44
CO,4,127
CY,4,21
HR,4,26
HU,4,30
KZ,4,64
LT,4,27
LV,4,21
MX,4,151
PE,4,59
RS,4,18
SI,4,31
AL,3,20
BA,3,16
BG,3,38
BH,3,11
CR,3,22
EC,3,49
EE,3,8
EG,3,58
ET,3,36
JO,3,27
KE,3,50
KW,3,8
LB,3,22
LK,3,20
MK,3,13
MO,3,5
OM,3,22
PH,3,128
QA,3,10
SG,3,23
TN,3,24
TZ,3,28
UG,3,23
XK,3,5
ZW,3,14
AM,2,8
AZ,2,20
BI,2,3
BN,2,4
BO,2,16
BW,2,4
BY,2,29
CM,2,15
CU,2,19
DZ,2,55
GE,2,15
GT,2,7
IQ,2,54
IS,2,4
JM,2,5
KG,2,18
