country_code,h3,institution_count
US,7,221
DE,6,61
GB,5,44
CH,4,8
CN,4,133
JP,4,73
NL,4,14
AT,3,12
AU,3,11
CA,3,19
ES,3,23
FR,3,32
IL,3,7
BE,2,9
CZ,2,6
IT,2,17
KR,2,23
NO,2,2
SE,2,8
SG,2,4
TW,2,14
AE,1,1
AM,1,1
AR,1,2
BG,1,1
BH,1,1
BR,1,7
BY,1,2
CL,1,1
CO,1,3
CR,1,1
DK,1,3
EE,1,1
EG,1,1
ET,1,1
FI,1,4
GR,1,2
HK,1,2
HR,1,2
HU,1,3
ID,1,2
IE,1,3
IN,1,20
IQ,1,4
IR,1,5
JO,1,1
KZ,1,2
LT,1,1
MX,1,7
MY,1,2
NG,1,1
NZ,1,4
PE,1,1
PL,1,6
PT,1,1
RS,1,1
RU,1,19
SA,1,1
SI,1,2
SK,1,1
TH,1,1
TR,1,4
UA,1,7
UY,1,1
ZA,1,3
