country_code,h3,institution_count
CN,11,601
US,10,588
DE,9,138
GB,8,111
JP,8,251
BE,7,16
CA,7,48
FR,7,111
AU,6,33
KR,6,102
NL,6,18
SE,6,17
TW,6,64
CH,5,16
CZ,5,17
FI,5,12
IN,5,241
IT,5,52
PL,5,38
AT,4,14
BR,4,70
ES,4,45
GR,4,11
IE,4,12
IL,4,14
RU,4,133
AR,3,19
DK,3,6
HK,3,8
HU,3,11
IR,3,89
KZ,3,15
MY,3,29
NZ,3,8
PT,3,15
RO,3,14
SA,3,19
SG,3,14
SI,3,3
SK,3,6
TH,3,28
TR,3,73
UA,3,31
AE,2,7
BD,2,19
BG,2,10
CL,2,10
CR,2,3
DZ,2,21
EG,2,22
ID,2,35
IQ,2,18
JO,2,10
LT,2,5
LU,2,2
MX,2,45
NO,2,8
PH,2,10
PK,2,33
QA,2,3
RS,2,3
TN,2,6
ZA,2,12
AL,1,2
AM,1,2
AZ,1,4
BA,1,1
BH,1,1
BI,1,1
BN,1,2
BO,1,1
BS,1,1
BY,1,8
CF,1,1
CM,1,3
CO,1,10
CU,1,3
CY,1,3
DO,1,2
EC,1,4
EE,1,2
ET,1,6
FJ,1,1
GD,1,1
GE,1,4
GF,1,1
GH,1,3
GP,1,1
HN,1,1
HR,1,2
IS,1,2
JM,1,1
KE,1,1
KH,1,2
KP,1,2
KW,1,2
LB,1,4
LK,1,3
LV,1,2
LY,1,2
MA,1,8
