country_code,h3,institution_count
US,5,646
DE,4,95
FR,4,62
GB,4,95
AT,3,15
BE,3,13
CA,3,36
CH,3,15
IT,3,38
RU,3,29
AU,2,24
BR,2,27
DK,2,6
ES,2,20
HK,2,5
HU,2,5
IL,2,14
JP,2,48
NL,2,11
NO,2,6
PL,2,14
SE,2,8
SK,2,2
ZA,2,6
AF,1,1
AL,1,1
AM,1,2
AR,1,6
AZ,1,1
BA,1,2
BD,1,4
BG,1,3
BH,1,1
BI,1,1
BO,1,1
BY,1,2
CD,1,1
CL,1,8
CN,1,44
CO,1,14
CR,1,1
CU,1,1
CZ,1,5
DO,1,2
DZ,1,5
EC,1,2
EE,1,1
EG,1,1
ET,1,1
FI,1,3
FJ,1,1
GH,1,1
GR,1,15
GT,1,1
HR,1,2
ID,1,13
IE,1,5
IN,1,46
IQ,1,3
IR,1,8
JO,1,2
KE,1,3
KR,1,7
KZ,1,2
LB,1,2
LK,1,2
LT,1,1
LV,1,1
LY,1,1
MA,1,2
MM,1,1
MN,1,1
MU,1,1
MW,1,1
MX,1,15
MY,1,4
MZ,1,1
NC,1,1
NG,1,7
NP,1,2
NZ,1,6
PA,1,1
PE,1,4
PG,1,1
PH,1,6
PK,1,2
PR,1,2
PT,1,5
QA,1,1
RE,1,1
RO,1,6
RS,1,5
SA,1,2
SG,1,1
SI,1,2
SN,1,2
SS,1,1
SY,1,1
TH,1,3
TJ,1,1
TN,1,5
