country_code,h3,institution_count
US,5,324
AU,4,37
ES,4,61
FR,4,73
IT,4,47
CA,3,47
GB,3,99
PT,3,30
AR,2,17
BG,2,4
BR,2,44
CH,2,17
CL,2,17
CN,2,153
CZ,2,9
DE,2,44
DK,2,7
GR,2,21
HK,2,5
HU,2,12
IE,2,5
JP,2,34
NL,2,17
NZ,2,10
PL,2,15
RO,2,14
RU,2,33
SE,2,12
SK,2,6
TR,2,60
ZA,2,15
AE,1,4
AL,1,7
AM,1,1
AO,1,1
AT,1,13
BA,1,2
BB,1,2
BD,1,2
BE,1,8
BI,1,1
BO,1,3
BS,1,1
BW,1,1
BY,1,1
CG,1,1
CI,1,2
CM,1,2
CO,1,15
CR,1,3
CU,1,2
CY,1,3
DO,1,1
DZ,1,2
EC,1,14
EE,1,1
EG,1,9
ET,1,1
FI,1,6
GD,1,1
GE,1,5
GH,1,8
GP,1,1
HN,1,1
HR,1,6
ID,1,30
IL,1,4
IN,1,53
IR,1,10
JM,1,2
KE,1,10
KG,1,1
KH,1,2
KR,1,11
KZ,1,9
LB,1,5
LK,1,7
LT,1,3
LV,1,1
LY,1,1
MA,1,9
MD,1,3
ME,1,1
MG,1,1
MK,1,2
MM,1,1
MN,1,2
MO,1,4
MT,1,1
MU,1,2
MW,1,1
MX,1,37
MY,1,19
,1,2
NG,1,10
NI,1,2
NO,1,7
NP,1,2
OM,1,1
PA,1,1
PE,1,6
