country_code,h3,institution_count
IT,9,58
BR,7,140
DE,7,82
FR,7,75
US,7,586
GB,6,105
AU,5,32
CA,5,45
CN,5,293
ES,5,56
JP,5,170
NL,5,21
BE,4,9
CH,4,15
IN,4,380
KR,4,67
PL,4,39
PT,4,18
SA,4,26
SE,4,16
AT,3,13
CL,3,24
DK,3,7
EG,3,30
GR,3,16
IL,3,11
MY,3,27
NO,3,8
RO,3,13
RU,3,67
TH,3,31
TR,3,66
TW,3,46
AE,2,11
AR,2,16
CO,2,31
CZ,2,12
DZ,2,19
FI,2,6
HK,2,6
HU,2,9
ID,2,41
IE,2,10
IR,2,99
JO,2,11
KE,2,9
LB,2,6
LK,2,5
LT,2,3
MA,2,14
MX,2,39
NG,2,53
NP,2,11
NZ,2,9
PK,2,43
PS,2,5
RS,2,8
SK,2,4
UA,2,16
UG,2,4
VE,2,5
YE,2,8
ZA,2,13
AL,1,1
AM,1,1
AO,1,1
BA,1,1
BB,1,2
BD,1,22
BF,1,2
BG,1,6
BH,1,3
BJ,1,1
BN,1,1
BO,1,6
BW,1,3
BY,1,5
CD,1,2
CI,1,2
CM,1,7
CR,1,4
CU,1,10
CV,1,1
CW,1,2
CY,1,4
DJ,1,1
DM,1,1
EC,1,9
EE,1,3
ER,1,1
ET,1,19
GD,1,1
GE,1,2
GF,1,1
GH,1,6
GP,1,1
GU,1,1
HN,1,1
HR,1,5
IQ,1,24
IS,1,1
