country_code,h3,institution_count
US,14,442
CA,9,39
DE,8,69
FR,8,62
GB,8,71
IT,8,53
CN,7,205
JP,7,122
NL,7,18
AU,6,27
BR,6,109
ES,6,56
TR,6,60
BE,5,9
IR,5,52
KR,5,57
PL,5,32
AT,4,13
CH,4,16
EG,4,25
IN,4,189
SE,4,10
TW,4,21
AR,3,19
CL,3,17
CO,3,27
CZ,3,8
DK,3,6
GR,3,9
HR,3,5
HU,3,8
IE,3,4
LB,3,5
MX,3,57
PK,3,35
PT,3,22
RO,3,10
RS,3,4
RU,3,30
SA,3,23
SG,3,6
TH,3,12
ZA,3,9
AE,2,8
FI,2,6
HK,2,6
IL,2,10
JO,2,5
KW,2,3
LT,2,2
MM,2,4
NO,2,5
NZ,2,4
PR,2,4
QA,2,2
SK,2,4
TN,2,7
UA,2,11
VE,2,5
VN,2,14
AF,1,1
AM,1,1
AW,1,1
AZ,1,1
BA,1,1
BD,1,11
BG,1,2
BH,1,2
BN,1,1
BY,1,3
CD,1,2
CI,1,2
CM,1,1
CR,1,3
CU,1,3
CY,1,3
DO,1,2
DZ,1,8
EC,1,10
EE,1,1
ET,1,2
GD,1,1
GE,1,1
GF,1,1
GH,1,3
GT,1,3
GU,1,1
HN,1,1
ID,1,15
IQ,1,8
IS,1,2
KE,1,2
KG,1,1
KH,1,2
KN,1,2
KZ,1,6
LK,1,3
LV,1,4
LY,1,5
MA,1,9
MD,1,1
