country_code,h3,institution_count
CN,13,929
US,12,1170
JP,10,703
AU,9,48
KR,9,254
CA,8,93
GB,8,190
NL,8,40
ES,7,80
IT,7,87
BE,6,20
BR,6,181
DE,6,174
PL,6,133
PT,6,43
RU,6,553
SE,6,30
FR,5,149
GR,5,38
HK,5,11
IN,5,528
IR,5,171
MY,5,69
NO,5,21
NZ,5,16
SA,5,36
TH,5,78
TW,5,106
UA,5,209
AT,4,35
BD,4,64
CH,4,32
CL,4,39
CZ,4,26
DK,4,15
ID,4,230
IE,4,17
IL,4,28
NG,4,102
SG,4,17
SI,4,17
TR,4,138
ZA,4,25
AE,3,26
BY,3,36
CO,3,70
CY,3,12
EC,3,36
EG,3,51
FI,3,24
GH,3,25
HR,3,23
KZ,3,53
LT,3,15
LV,3,16
MK,3,7
MO,3,5
MX,3,85
PH,3,88
PK,3,86
RO,3,43
TN,3,12
VN,3,72
AL,2,9
AR,2,33
AZ,2,16
BA,2,9
BG,2,35
DZ,2,55
EE,2,6
ET,2,22
HU,2,20
IQ,2,49
JM,2,5
JO,2,20
KE,2,21
KW,2,6
LB,2,15
LK,2,17
LY,2,5
MA,2,26
ME,2,4
MM,2,10
MN,2,11
MT,2,3
MZ,2,3
NP,2,10
OM,2,8
PA,2,5
PE,2,27
PR,2,12
PS,2,9
QA,2,5
RS,2,17
SK,2,18
TJ,2,11
TZ,2,19
UY,2,4
UZ,2,37
VE,2,10
YE,2,6
