country_code,h3,institution_count
GB,10,178
CA,8,114
AU,7,51
FR,7,211
US,7,854
BR,6,374
NG,6,114
NL,6,35
PL,6,122
ZA,6,29
BE,5,25
CZ,5,28
ES,5,86
PT,5,62
SE,5,24
TR,5,178
AR,4,68
CH,4,33
CL,4,51
DE,4,141
DK,4,14
FI,4,19
GH,4,28
IE,4,13
IT,4,86
LT,4,17
MX,4,111
NO,4,20
AT,3,31
BD,3,50
CN,3,497
CO,3,98
EC,3,44
EE,3,8
EG,3,42
GR,3,26
HK,3,11
HU,3,20
ID,3,146
IL,3,14
IN,3,313
JP,3,181
KE,3,29
KR,3,78
LV,3,16
MY,3,48
NZ,3,13
PE,3,49
RO,3,38
RS,3,13
RU,3,155
SA,3,24
SK,3,21
ZW,3,13
AE,2,17
AL,2,14
BG,2,18
BO,2,13
CM,2,11
CR,2,16
CU,2,16
CY,2,11
DZ,2,37
ET,2,27
GT,2,4
HR,2,9
IQ,2,25
IR,2,85
JM,2,5
JO,2,18
KZ,2,14
LB,2,10
LK,2,9
MA,2,27
MK,2,5
MW,2,3
MZ,2,11
NP,2,5
PH,2,48
PK,2,61
PR,2,10
PS,2,7
QA,2,5
RW,2,4
SG,2,11
SI,2,10
TH,2,43
TW,2,60
TZ,2,19
UA,2,78
UG,2,17
UY,2,5
VE,2,19
VN,2,35
XK,2,4
ZM,2,10
AF,1,7
AM,1,3
AO,1,6
AZ,1,8
BA,1,5
