country_code,h3,institution_count
US,14,799
CN,9,414
GB,9,136
IT,9,77
JP,9,236
CA,8,58
DE,8,110
KR,8,108
EG,7,43
TR,7,140
TW,7,57
AU,6,41
BE,6,15
BR,6,273
ES,6,71
FR,6,74
IN,6,491
IR,6,98
NL,6,28
SE,6,18
AT,5,22
CH,5,23
GR,5,18
NG,5,57
PL,5,60
RU,5,102
DK,4,7
FI,4,14
ID,4,95
IL,4,11
SA,4,36
TH,4,25
ZA,4,17
AR,3,39
BG,3,9
CL,3,29
CO,3,60
CZ,3,14
HR,3,10
HU,3,15
IE,3,11
IQ,3,32
JO,3,11
KZ,3,12
LB,3,8
MA,3,15
MX,3,84
MY,3,28
NO,3,9
PK,3,72
PT,3,35
RO,3,26
SG,3,10
SY,3,7
TN,3,11
AE,2,15
BD,2,36
BF,2,3
BJ,2,3
CD,2,7
CI,2,3
CM,2,9
CR,2,9
CU,2,14
CY,2,7
DZ,2,10
EC,2,26
ET,2,16
GE,2,4
GH,2,12
HK,2,8
KE,2,6
LT,2,5
MK,2,5
ML,2,3
NP,2,12
NZ,2,7
OM,2,4
PE,2,22
PH,2,20
PR,2,9
PS,2,7
QA,2,5
RS,2,9
RW,2,4
SK,2,9
SN,2,6
TG,2,2
TZ,2,7
UA,2,37
UG,2,9
UY,2,3
VE,2,7
VN,2,21
AD,1,1
AF,1,2
AL,1,3
AM,1,1
AZ,1,4
BA,1,5
BB,1,1
