country_code,h3,institution_count
CN,20,909
US,15,1418
BR,12,390
CA,11,114
IN,11,873
AU,10,50
ES,10,84
GB,10,172
IR,10,238
KR,10,158
MY,10,68
PL,10,138
TR,10,151
DE,9,170
MA,9,39
DZ,8,65
EG,8,61
FR,8,176
IT,8,81
PK,8,140
SA,8,40
ZA,8,27
ID,7,392
IQ,7,54
JP,7,312
MX,7,168
NG,7,135
NL,7,42
PT,7,55
SE,7,26
TH,7,88
TW,7,104
AE,6,28
AR,6,61
BD,6,81
BE,6,21
CH,6,25
CO,6,132
CZ,6,25
ET,6,38
FI,6,19
GR,6,34
RO,6,45
TN,6,26
VN,6,93
AT,5,32
CL,5,46
CM,5,12
DK,5,10
GH,5,26
HK,5,10
HU,5,25
IE,5,13
JO,5,23
NZ,5,14
RU,5,235
UA,5,122
CI,4,10
EC,4,46
HR,4,29
IL,4,21
KE,4,35
KZ,4,35
LK,4,18
LT,4,14
NO,4,17
NP,4,16
OM,4,15
PE,4,69
PH,4,124
RS,4,19
SG,4,20
SK,4,17
TZ,4,19
BA,3,15
BG,3,31
BO,3,16
CD,3,14
CR,3,16
CU,3,19
CY,3,12
EE,3,4
LB,3,15
LV,3,11
LY,3,13
MK,3,8
MN,3,11
PR,3,16
PS,3,13
QA,3,6
SI,3,15
SN,3,8
UG,3,19
UY,3,6
UZ,3,32
VE,3,25
YE,3,10
ZW,3,11
AF,2,13
AL,2,15
AZ,2,14
